id,order_id,shipping_mode,delivery_days,status
111,55984,Standard Class,5,Late delivery
112,58375,Standard Class,6,Late delivery
113,56448,Standard Class,4,Shipping on time
114,8221,Standard Class,2,Advance shipping
115,58034,Standard Class,5,Late delivery
116,2203,Standard Class,4,Shipping on time
117,53069,Standard Class,5,Late delivery
118,60146,Standard Class,2,Advance shipping
119,55409,Standard Class,5,Late delivery
120,8678,Standard Class,4,Shipping on time
121,7980,Standard Class,6,Late delivery
122,57185,Standard Class,6,Late delivery
123,8636,Standard Class,2,Advance shipping
124,61192,Standard Class,3,Advance shipping
125,55876,Standard Class,2,Advance shipping
126,53331,Standard Class,2,Advance shipping
127,51725,Standard Class,6,Late delivery
128,52562,Standard Class,3,Advance shipping
129,59754,Standard Class,5,Late delivery
130,53574,Standard Class,5,Late delivery
131,399,Standard Class,5,Late delivery
132,51050,Second Class,6,Late delivery
133,45680,Second Class,6,Late delivery
134,42992,Second Class,3,Late delivery
135,41304,Second Class,5,Late delivery
136,44253,Second Class,4,Late delivery
137,46098,Second Class,4,Late delivery
138,71077,Second Class,3,Late delivery
139,69703,Second Class,4,Late delivery
140,71112,Second Class,3,Late delivery
141,69810,Second Class,6,Late delivery
142,71092,Second Class,3,Late delivery
143,69610,Second Class,6,Late delivery
144,71000,Second Class,6,Late delivery
145,70734,Second Class,5,Late delivery
146,69626,Second Class,2,Shipping on time
147,69482,Second Class,3,Late delivery
148,70769,Second Class,5,Late delivery
149,69643,Second Class,4,Late delivery
150,71051,Second Class,2,Shipping on time
151,69408,Second Class,4,Late delivery
152,71123,Second Class,4,Late delivery
153,70534,Second Class,5,Late delivery
154,69641,Second Class,2,Shipping on time
155,70960,Second Class,6,Late delivery
156,69908,Second Class,4,Late delivery
157,70957,Second Class,3,Late delivery
158,69637,Second Class,3,Late delivery
159,70955,Second Class,6,Late delivery
160,70919,Second Class,5,Late delivery
161,71009,Second Class,5,Late delivery
162,69653,Second Class,4,Late delivery
163,69527,Second Class,3,Late delivery
164,71080,Second Class,6,Late delivery
165,70544,Second Class,5,Late delivery
166,69471,Second Class,2,Shipping on time
167,68879,Second Class,5,Late delivery
168,67214,Second Class,5,Late delivery
169,17810,Second Class,6,Late delivery
170,18793,Second Class,4,Late delivery
171,65109,Second Class,5,Late delivery
172,15673,Second Class,4,Late delivery
173,18183,Second Class,4,Late delivery
174,20234,Second Class,5,Late delivery
175,13139,Second Class,5,Late delivery
176,33824,Standard Class,5,Shipping canceled
177,31364,Standard Class,5,Shipping canceled
178,40495,Standard Class,6,Shipping canceled
179,34506,Standard Class,2,Shipping canceled
180,33607,Standard Class,3,Shipping canceled
181,32617,Standard Class,3,Shipping canceled
182,37496,Standard Class,2,Shipping canceled
183,49075,Standard Class,6,Shipping canceled
184,41623,Standard Class,4,Shipping canceled
185,39271,Standard Class,2,Shipping canceled
186,38598,Standard Class,4,Shipping canceled
187,37845,Standard Class,6,Shipping canceled
188,42331,Standard Class,2,Shipping canceled
189,41345,Standard Class,6,Shipping canceled
190,51168,Standard Class,4,Shipping canceled
191,43599,Standard Class,5,Shipping canceled
192,41901,Standard Class,2,Shipping canceled
193,42751,Standard Class,2,Advance shipping
194,45088,Standard Class,4,Shipping on time
195,50489,Standard Class,5,Late delivery
196,44409,Standard Class,5,Late delivery
197,42101,Standard Class,2,Advance shipping
198,50424,Standard Class,5,Late delivery
199,49825,Standard Class,6,Late delivery
200,41294,Standard Class,5,Late delivery
201,42023,Standard Class,4,Shipping on time
202,47774,Standard Class,5,Late delivery
203,41827,Standard Class,3,Advance shipping
204,47193,Standard Class,4,Shipping on time
205,42626,Standard Class,2,Advance shipping
206,46199,Standard Class,5,Late delivery
207,48468,Standard Class,4,Shipping on time
208,51009,Standard Class,5,Late delivery
209,46229,Standard Class,5,Late delivery
210,42882,Standard Class,3,Advance shipping
211,46827,Standard Class,3,Advance shipping
212,48684,Standard Class,5,Late delivery
213,46416,Standard Class,2,Advance shipping
214,47343,Standard Class,4,Shipping on time
215,41686,Standard Class,2,Advance shipping
216,41896,Standard Class,2,Advance shipping
217,28168,Standard Class,4,Shipping on time
218,24992,Standard Class,3,Advance shipping
219,30851,Standard Class,2,Advance shipping
220,25074,Standard Class,5,Late delivery
221,76870,Standard Class,6,Late delivery
222,25163,Standard Class,4,Shipping on time
223,28036,Standard Class,2,Advance shipping
224,22679,Standard Class,5,Late delivery
225,23610,Standard Class,6,Late delivery
226,42828,Standard Class,4,Shipping on time
227,48713,Standard Class,4,Shipping on time
228,45668,Standard Class,4,Shipping on time
229,74796,Standard Class,2,Advance shipping
230,27918,Standard Class,4,Shipping on time
231,30097,Standard Class,3,Advance shipping
232,30966,Standard Class,2,Advance shipping
233,30063,Standard Class,4,Shipping on time
234,22019,Standard Class,5,Late delivery
235,24230,Standard Class,6,Late delivery
236,42353,Standard Class,4,Shipping on time
237,42134,Standard Class,5,Late delivery
238,21522,Standard Class,3,Advance shipping
239,23767,Standard Class,3,Advance shipping
240,25433,Standard Class,4,Shipping on time
241,73893,Standard Class,4,Shipping on time
242,30085,Standard Class,6,Late delivery
243,30172,Standard Class,3,Advance shipping
244,27478,Standard Class,4,Shipping on time
245,76976,Standard Class,2,Advance shipping
246,24063,Standard Class,4,Shipping on time
247,51209,Standard Class,5,Late delivery
248,73839,Standard Class,5,Late delivery
249,74723,Standard Class,4,Shipping on time
250,26821,Standard Class,2,Advance shipping
251,77102,Standard Class,3,Advance shipping
252,41608,Standard Class,4,Shipping on time
253,47009,Standard Class,5,Late delivery
254,49916,Standard Class,2,Advance shipping
255,29746,Standard Class,2,Advance shipping
256,72533,Standard Class,4,Shipping on time
257,48608,Standard Class,4,Shipping on time
258,45506,Standard Class,2,Advance shipping
259,45027,Standard Class,3,Advance shipping
260,46308,Standard Class,4,Shipping on time
261,43685,Standard Class,6,Late delivery
262,41893,Standard Class,4,Shipping on time
263,46339,Standard Class,5,Late delivery
264,46667,Standard Class,3,Advance shipping
265,47647,Standard Class,3,Advance shipping
266,48565,Standard Class,6,Late delivery
267,43889,Standard Class,5,Late delivery
268,45138,Standard Class,4,Shipping on time
269,44160,Standard Class,6,Late delivery
270,49214,Standard Class,5,Late delivery
271,41825,Standard Class,6,Late delivery
272,44504,Standard Class,5,Late delivery
273,44496,Standard Class,2,Advance shipping
274,45559,Standard Class,5,Late delivery
275,44074,Standard Class,5,Late delivery
276,49857,Standard Class,3,Advance shipping
277,41786,Standard Class,2,Advance shipping
278,48042,Standard Class,3,Advance shipping
279,44301,Standard Class,2,Advance shipping
280,41591,Standard Class,2,Advance shipping
281,44981,Standard Class,2,Advance shipping
282,41545,Standard Class,6,Late delivery
283,49910,Standard Class,6,Late delivery
284,19590,Standard Class,6,Late delivery
285,43650,Standard Class,6,Late delivery
286,15202,Standard Class,3,Advance shipping
287,15462,Standard Class,3,Advance shipping
288,15155,Standard Class,6,Late delivery
289,64451,Standard Class,2,Advance shipping
290,67028,Standard Class,4,Shipping on time
291,62336,Standard Class,2,Advance shipping
292,11334,Standard Class,5,Late delivery
293,62885,Standard Class,6,Late delivery
294,66998,Standard Class,4,Shipping on time
295,47002,Standard Class,3,Advance shipping
296,63445,Standard Class,6,Late delivery
297,67566,Standard Class,2,Advance shipping
298,18884,Standard Class,5,Late delivery
299,18845,Standard Class,6,Late delivery
300,66854,Standard Class,5,Late delivery
301,46955,Standard Class,6,Late delivery
302,55002,Standard Class,3,Advance shipping
303,60445,Standard Class,6,Late delivery
304,53586,Standard Class,2,Advance shipping
305,56618,Standard Class,4,Shipping on time
306,51865,Standard Class,6,Late delivery
307,2937,Standard Class,3,Advance shipping
308,54446,Standard Class,2,Advance shipping
309,58623,Standard Class,4,Shipping on time
310,7411,Standard Class,2,Advance shipping
311,5348,Standard Class,4,Shipping on time
312,59742,Standard Class,3,Advance shipping
313,59498,Standard Class,4,Shipping on time
314,3459,Standard Class,5,Late delivery
315,8470,Standard Class,6,Late delivery
316,53455,Standard Class,6,Late delivery
317,2014,Standard Class,5,Late delivery
318,55899,Standard Class,5,Late delivery
319,52582,Standard Class,3,Advance shipping
320,56222,Standard Class,3,Advance shipping
321,57829,Standard Class,5,Late delivery
322,56217,Standard Class,3,Advance shipping
323,5893,Standard Class,4,Shipping on time
324,5528,Standard Class,4,Shipping on time
325,367,Standard Class,3,Advance shipping
326,52353,Standard Class,4,Shipping on time
327,1784,Standard Class,5,Late delivery
328,60317,Standard Class,3,Advance shipping
329,6776,Standard Class,2,Advance shipping
330,4487,Standard Class,3,Advance shipping
331,9681,Standard Class,2,Advance shipping
332,60868,Standard Class,4,Shipping on time
333,53231,Standard Class,2,Advance shipping
334,52601,Standard Class,2,Advance shipping
335,4660,Standard Class,6,Late delivery
336,3539,Standard Class,5,Late delivery
337,54488,Standard Class,4,Shipping on time
338,52549,Standard Class,5,Late delivery
339,60361,Standard Class,2,Advance shipping
340,5712,Standard Class,3,Advance shipping
341,9309,Standard Class,5,Late delivery
342,8095,Standard Class,6,Late delivery
343,75892,Standard Class,3,Advance shipping
344,75891,Standard Class,2,Advance shipping
345,75890,Second Class,6,Late delivery
346,75889,Standard Class,5,Late delivery
347,75888,Standard Class,4,Shipping on time
348,75887,Standard Class,3,Advance shipping
349,75886,Standard Class,2,Shipping canceled
350,75885,Second Class,6,Late delivery
351,75884,Standard Class,5,Late delivery
352,75883,First Class,2,Late delivery
353,75882,Standard Class,3,Advance shipping
354,75881,Standard Class,2,Advance shipping
355,75880,Standard Class,6,Late delivery
356,75879,Standard Class,5,Late delivery
357,75878,Standard Class,4,Shipping on time
358,75877,Standard Class,3,Advance shipping
359,75876,Standard Class,2,Advance shipping
360,75875,Second Class,6,Late delivery
361,75874,Standard Class,5,Late delivery
362,75873,Standard Class,4,Shipping on time
363,75872,Standard Class,3,Advance shipping
364,75871,First Class,2,Late delivery
365,75870,First Class,2,Late delivery
366,75869,First Class,2,Late delivery
367,75868,First Class,2,Late delivery
368,75867,Same Day,0,Shipping on time
369,75866,Same Day,0,Shipping on time
370,75865,Same Day,0,Shipping on time
371,75864,Standard Class,5,Late delivery
372,75863,Standard Class,4,Shipping on time
373,75862,Standard Class,3,Advance shipping
374,75861,Standard Class,2,Advance shipping
375,75860,Standard Class,6,Late delivery
376,75859,Standard Class,5,Shipping canceled
377,75858,Second Class,4,Late delivery
378,75857,Standard Class,3,Advance shipping
379,75856,Second Class,2,Shipping on time
380,75855,First Class,2,Late delivery
381,75854,Second Class,5,Late delivery
382,75853,Second Class,4,Late delivery
383,75852,Standard Class,3,Advance shipping
384,75851,Standard Class,2,Advance shipping
385,75850,Standard Class,6,Late delivery
386,75849,Standard Class,5,Late delivery
387,75848,Second Class,4,Late delivery
388,75847,Second Class,3,Shipping canceled
389,75846,Standard Class,2,Advance shipping
390,75845,Standard Class,6,Late delivery
391,75844,Standard Class,5,Late delivery
392,75843,Second Class,4,Late delivery
393,75842,Standard Class,3,Advance shipping
394,75841,Standard Class,2,Advance shipping
395,75840,Second Class,6,Late delivery
396,75839,Second Class,5,Late delivery
397,75838,First Class,2,Late delivery
398,75837,First Class,2,Late delivery
399,75836,Second Class,2,Shipping on time
400,75835,Second Class,6,Late delivery
401,75834,Second Class,5,Late delivery
402,75833,First Class,2,Late delivery
403,75832,First Class,2,Late delivery
404,75831,First Class,2,Late delivery
405,75830,Standard Class,6,Late delivery
406,75829,Standard Class,5,Late delivery
407,75828,Standard Class,4,Shipping on time
408,75827,Standard Class,3,Advance shipping
409,75826,Standard Class,2,Advance shipping
410,75825,Standard Class,6,Late delivery
411,75824,Standard Class,5,Late delivery
412,75823,Standard Class,4,Shipping on time
413,75822,Standard Class,3,Advance shipping
414,75821,Standard Class,2,Advance shipping
415,75820,Standard Class,6,Late delivery
416,75819,Standard Class,5,Late delivery
417,75818,Standard Class,4,Shipping on time
418,75817,Standard Class,3,Advance shipping
419,75816,Standard Class,2,Advance shipping
420,75815,Standard Class,6,Late delivery
421,75814,Standard Class,5,Late delivery
422,75813,Second Class,4,Late delivery
423,75812,Second Class,3,Late delivery
424,75811,First Class,2,Late delivery
425,75810,Second Class,6,Late delivery
426,75809,Second Class,5,Late delivery
427,75808,Second Class,4,Late delivery
428,75807,Same Day,1,Late delivery
429,75806,Same Day,1,Late delivery
430,75805,Same Day,1,Late delivery
431,75804,Same Day,1,Late delivery
432,75803,Same Day,1,Late delivery
433,75802,Same Day,1,Shipping canceled
434,75801,Same Day,1,Late delivery
435,75800,Standard Class,6,Late delivery
436,75799,Standard Class,5,Late delivery
437,75798,Standard Class,4,Shipping on time
438,75797,Standard Class,3,Advance shipping
439,3130,Second Class,6,Late delivery
440,49521,Second Class,2,Shipping on time
441,30305,Second Class,6,Late delivery
442,27772,Second Class,3,Late delivery
443,31296,Second Class,2,Shipping on time
444,22076,Second Class,2,Shipping on time
445,25665,Second Class,6,Late delivery
446,22819,Second Class,5,Late delivery
447,27099,Second Class,5,Late delivery
448,28292,Second Class,3,Late delivery
449,39159,Second Class,5,Late delivery
450,34631,Second Class,2,Shipping on time
451,37669,Second Class,5,Late delivery
452,40085,Second Class,6,Late delivery
453,47262,Second Class,3,Late delivery
454,44771,Second Class,2,Shipping on time
455,13890,Second Class,6,Late delivery
456,17071,Second Class,2,Shipping on time
457,11321,Second Class,2,Shipping on time
458,11936,Second Class,2,Shipping on time
459,68337,Second Class,3,Late delivery
460,45746,Second Class,2,Shipping on time
461,13736,Second Class,2,Shipping on time
462,49622,Second Class,3,Late delivery
463,19444,Second Class,5,Late delivery
464,51911,Second Class,2,Shipping on time
465,58239,Second Class,5,Late delivery
466,56678,Second Class,4,Late delivery
467,53202,Second Class,3,Late delivery
468,58738,Second Class,4,Late delivery
469,56260,Second Class,6,Late delivery
470,5042,Second Class,3,Late delivery
471,55511,Second Class,2,Shipping on time
472,54128,Second Class,4,Late delivery
473,21244,Second Class,5,Late delivery
474,31239,Second Class,5,Late delivery
475,45772,Second Class,3,Late delivery
476,24661,Second Class,2,Shipping on time
477,22924,Second Class,5,Late delivery
478,21902,Second Class,3,Late delivery
479,21534,Second Class,5,Late delivery
480,24160,Second Class,6,Late delivery
481,32102,Second Class,3,Late delivery
482,37763,Second Class,4,Late delivery
483,37867,Second Class,3,Late delivery
484,31905,Second Class,6,Late delivery
485,36269,Second Class,5,Late delivery
486,48374,Second Class,5,Late delivery
487,17719,Second Class,5,Late delivery
488,15766,Second Class,2,Shipping on time
489,12179,Second Class,5,Late delivery
490,66275,Second Class,6,Late delivery
491,13140,Second Class,6,Late delivery
492,16444,Second Class,5,Late delivery
493,14454,Second Class,5,Late delivery
494,67979,Second Class,5,Late delivery
495,65264,Second Class,5,Late delivery
496,51226,Second Class,2,Shipping on time
497,52576,Second Class,2,Shipping on time
498,67753,Second Class,4,Late delivery
499,15421,Second Class,2,Shipping on time
500,13225,Second Class,6,Late delivery
501,71362,Second Class,3,Late delivery
502,13232,Second Class,3,Late delivery
503,65487,Second Class,3,Late delivery
504,65105,Second Class,6,Late delivery
505,14837,Second Class,3,Late delivery
506,46224,Second Class,5,Late delivery
507,71217,Second Class,3,Late delivery
508,63972,Second Class,3,Late delivery
509,19200,Second Class,6,Late delivery
510,18009,Second Class,5,Late delivery
511,10831,Second Class,2,Shipping on time
512,68107,Second Class,3,Late delivery
513,71271,Second Class,2,Shipping on time
514,16953,Second Class,4,Late delivery
515,49664,Second Class,5,Late delivery
516,16446,Second Class,2,Shipping on time
517,14960,Second Class,6,Late delivery
518,18005,Second Class,6,Late delivery
519,12804,Second Class,5,Late delivery
520,14651,Second Class,2,Shipping on time
521,10990,Second Class,6,Late delivery
522,65609,Second Class,5,Late delivery
523,17878,Second Class,4,Late delivery
524,16998,Second Class,4,Late delivery
525,13970,Second Class,6,Late delivery
526,13614,Second Class,5,Late delivery
527,44388,Second Class,4,Late delivery
528,13050,Second Class,6,Late delivery
529,12613,Second Class,4,Late delivery
530,66587,Second Class,3,Late delivery
531,62795,Second Class,6,Late delivery
532,18950,Second Class,6,Late delivery
533,19610,Second Class,6,Late delivery
534,65011,Second Class,2,Shipping on time
535,19380,Second Class,6,Late delivery
536,65005,Second Class,6,Late delivery
537,20085,Second Class,6,Late delivery
538,18245,Second Class,6,Late delivery
539,19817,Second Class,3,Late delivery
540,10444,Second Class,5,Late delivery
541,64637,Second Class,3,Late delivery
542,15269,Second Class,5,Late delivery
543,14064,Second Class,5,Late delivery
544,14551,Second Class,2,Shipping on time
545,12698,Second Class,4,Late delivery
546,47758,Second Class,4,Late delivery
547,68220,Second Class,6,Late delivery
548,14730,Second Class,6,Late delivery
549,66411,Second Class,2,Shipping on time
550,12535,Second Class,6,Late delivery
551,67712,Second Class,3,Late delivery
552,18593,Second Class,4,Late delivery
553,17909,Second Class,5,Late delivery
554,16302,Second Class,3,Late delivery
555,13343,Second Class,4,Late delivery
556,62117,Second Class,3,Late delivery
557,62637,Second Class,3,Late delivery
558,67845,Second Class,6,Late delivery
559,11209,Second Class,5,Late delivery
560,41494,Second Class,5,Late delivery
561,70044,Second Class,5,Late delivery
562,16617,Second Class,3,Late delivery
563,14574,Second Class,5,Late delivery
564,15599,Second Class,5,Late delivery
565,20072,Second Class,3,Late delivery
566,12323,Second Class,4,Late delivery
567,71295,Second Class,6,Late delivery
568,66351,Second Class,2,Shipping on time
569,44148,Second Class,4,Late delivery
570,53540,Standard Class,6,Late delivery
571,57570,Standard Class,6,Late delivery
572,5154,Standard Class,5,Late delivery
573,9122,Standard Class,3,Advance shipping
574,4427,Standard Class,3,Advance shipping
575,9340,Standard Class,6,Late delivery
576,9331,Standard Class,2,Advance shipping
577,58315,Standard Class,6,Late delivery
578,54572,Standard Class,3,Advance shipping
579,51746,Standard Class,2,Advance shipping
580,4269,Standard Class,5,Late delivery
581,61346,Standard Class,2,Advance shipping
582,1999,Standard Class,5,Late delivery
583,53576,Standard Class,2,Advance shipping
584,57152,Standard Class,3,Advance shipping
585,51674,Standard Class,5,Late delivery
586,55336,Standard Class,2,Advance shipping
587,53810,Standard Class,6,Late delivery
588,59301,Standard Class,2,Advance shipping
589,8410,Standard Class,6,Late delivery
590,8123,Standard Class,4,Shipping on time
591,60567,Standard Class,3,Advance shipping
592,3527,Standard Class,3,Advance shipping
593,2428,Standard Class,4,Shipping on time
594,55174,Standard Class,5,Late delivery
595,57032,Standard Class,3,Advance shipping
596,10113,Standard Class,4,Shipping on time
597,52250,Standard Class,6,Late delivery
598,8906,Standard Class,2,Advance shipping
599,1386,Standard Class,2,Advance shipping
600,59226,Standard Class,2,Advance shipping
601,8847,Standard Class,3,Advance shipping
602,57929,Standard Class,5,Late delivery
603,53505,Standard Class,6,Late delivery
604,55636,Standard Class,2,Advance shipping
605,57128,Standard Class,4,Shipping on time
606,8728,Standard Class,4,Shipping on time
607,1105,Standard Class,6,Late delivery
608,1797,Standard Class,3,Advance shipping
609,1634,Standard Class,5,Late delivery
610,6176,Standard Class,2,Shipping canceled
611,60460,Standard Class,6,Shipping canceled
612,580,Standard Class,6,Shipping canceled
613,56244,Standard Class,5,Shipping canceled
614,6522,Standard Class,3,Shipping canceled
615,58298,Standard Class,4,Shipping canceled
616,3625,Standard Class,6,Shipping canceled
617,52321,Standard Class,2,Shipping canceled
618,58896,Standard Class,2,Shipping canceled
619,5919,Standard Class,5,Shipping canceled
620,52772,Standard Class,3,Shipping canceled
621,9063,Standard Class,4,Shipping canceled
622,61419,Standard Class,5,Shipping canceled
623,27742,Standard Class,3,Shipping canceled
624,24453,Standard Class,4,Shipping canceled
625,31145,Standard Class,6,Shipping canceled
626,30802,Standard Class,3,Advance shipping
627,25875,Standard Class,6,Late delivery
628,30589,Standard Class,5,Late delivery
629,20931,Standard Class,2,Advance shipping
630,45646,Standard Class,2,Advance shipping
631,29731,Standard Class,2,Advance shipping
632,42777,Standard Class,3,Advance shipping
633,23886,Standard Class,2,Advance shipping
634,43561,Standard Class,2,Advance shipping
635,47846,Standard Class,2,Advance shipping
636,21192,Standard Class,3,Advance shipping
637,23156,Standard Class,2,Advance shipping
638,22811,Standard Class,2,Advance shipping
639,25418,Standard Class,4,Shipping on time
640,47092,Standard Class,3,Advance shipping
641,42658,Standard Class,4,Shipping on time
642,23494,Standard Class,5,Late delivery
643,27316,Standard Class,2,Advance shipping
644,27555,Standard Class,6,Late delivery
645,28657,Standard Class,3,Advance shipping
646,47011,Standard Class,2,Advance shipping
647,21973,Standard Class,4,Shipping on time
648,50226,Standard Class,2,Advance shipping
649,44617,Standard Class,3,Advance shipping
650,21196,Standard Class,2,Advance shipping
651,21193,Standard Class,4,Shipping on time
652,26073,Standard Class,4,Shipping on time
653,44425,Standard Class,6,Late delivery
654,49570,Standard Class,6,Late delivery
655,42099,Standard Class,5,Late delivery
656,47731,Standard Class,2,Advance shipping
657,46062,Standard Class,3,Advance shipping
658,44938,Standard Class,4,Shipping on time
659,50688,Standard Class,4,Shipping on time
660,49445,Standard Class,6,Late delivery
661,47938,Standard Class,4,Shipping on time
662,45249,Standard Class,5,Late delivery
663,41874,Standard Class,5,Late delivery
664,41572,Standard Class,3,Advance shipping
665,41785,Standard Class,6,Late delivery
666,42971,Standard Class,2,Advance shipping
667,44677,Standard Class,3,Advance shipping
668,43266,Standard Class,2,Advance shipping
669,47917,Standard Class,3,Advance shipping
670,48901,Standard Class,2,Advance shipping
671,44265,Standard Class,6,Shipping canceled
672,41590,Standard Class,6,Shipping canceled
673,45987,Standard Class,3,Shipping canceled
674,44452,Standard Class,3,Shipping canceled
675,49218,Standard Class,4,Shipping canceled
676,47840,Standard Class,6,Shipping canceled
677,47493,Standard Class,4,Shipping canceled
678,64274,Standard Class,5,Shipping canceled
679,13298,Standard Class,4,Shipping canceled
680,62786,Standard Class,2,Shipping canceled
681,13939,Standard Class,5,Shipping canceled
682,46864,Standard Class,5,Shipping canceled
683,16590,Standard Class,6,Shipping canceled
684,62840,Standard Class,6,Shipping canceled
685,66959,Standard Class,5,Shipping canceled
686,63220,Standard Class,6,Shipping canceled
687,19642,Standard Class,3,Shipping canceled
688,65439,Standard Class,5,Shipping canceled
689,17363,Standard Class,4,Shipping canceled
690,18237,Standard Class,3,Shipping canceled
691,66958,Standard Class,4,Shipping canceled
692,66764,Standard Class,5,Shipping canceled
693,48193,Standard Class,4,Shipping canceled
694,15231,Standard Class,2,Advance shipping
695,10451,Standard Class,2,Advance shipping
696,10459,Standard Class,5,Late delivery
697,64222,Standard Class,3,Advance shipping
698,63907,Standard Class,3,Advance shipping
699,19178,Standard Class,4,Shipping on time
700,67046,Standard Class,2,Advance shipping
701,65312,Standard Class,3,Advance shipping
702,16436,Standard Class,2,Advance shipping
703,11822,Standard Class,3,Advance shipping
704,19528,Standard Class,4,Shipping on time
705,49763,Standard Class,4,Shipping on time
706,16013,Standard Class,4,Shipping on time
707,17347,Standard Class,3,Advance shipping
708,19496,Standard Class,2,Advance shipping
709,62789,Standard Class,5,Late delivery
710,11674,Standard Class,5,Late delivery
711,67866,Standard Class,2,Advance shipping
712,13599,Standard Class,5,Late delivery
713,10384,Standard Class,5,Late delivery
714,63115,Standard Class,6,Late delivery
715,63516,Standard Class,2,Advance shipping
716,62086,Standard Class,2,Advance shipping
717,62817,Standard Class,3,Advance shipping
718,10856,Standard Class,2,Advance shipping
719,14685,Standard Class,6,Late delivery
720,66229,Standard Class,5,Late delivery
721,14924,Standard Class,5,Late delivery
722,49839,Standard Class,5,Late delivery
723,12393,Standard Class,4,Shipping on time
724,65898,Standard Class,4,Shipping on time
725,64599,Standard Class,5,Late delivery
726,65370,Standard Class,6,Late delivery
727,19732,Standard Class,3,Advance shipping
728,67549,Standard Class,5,Late delivery
729,67275,Standard Class,6,Late delivery
